,name,street,plz,place,telephone
0,Göllner Sabine Krankengymnastik & Physiotherapie,Urho‑Kekkonen‑Str. 3,18147,Toitenwinkel,381690416
1,Friemel Physiotherapie Inh. B. Neumann Krankengymnastik & Physiotherapie,Doberaner Str. 43B,18057,Kröpeliner Tor‑Vorstadt,3812004585
2,Nehrenberg Dorothee Physiotherapie,Schulenburgstr. 20,18069,Reutershagen,3818096282
3,Physiotherapiezentrum Marcel Frank,Südring 28a,18059,Südstadt,3814009382
4,Silke Thiede Physiotherapie,Ernst‑Barlach‑Str. 8,18055,,
5,Physiotherapie Kollmorgen,Trelleborger Str. 10B,18107,Lütten Klein,3815107174
6,Buller Olaf Physiotherapie,Schiffbauerring 59,18109,Groß Klein,
7,Gemeinschaftspraxis Physiotherapie Möller & Norden,Mecklenburger Allee 18,18109,Lichtenhagen,3817699420
8,Physiotherapie Annekathrin Hinz,Segelmacherweg 2,18109,Groß Klein,1629740737
9,Physiotherapie Hinz Annekathrin Praxis für Physiotherapie,Segelmacherweg 2,18109,Groß Klein,3811214014
10,Physiotherapie K. Schuldt,Wismarsche Str. 6,18057,Kröpeliner Tor‑Vorstadt,3814901847
11,Physiotherapie Richter Ralf-Uwe Physiotherapie,Goerdelerstr. 25,18069,Reutershagen,3818002711
12,"Sport-Physio Rostock, Inh. Tschiersch, Daniel Physiotherapie",No address found,18055,,
13,Klimt Dagmar Physiotherapie,Majakowskistr. 58,18059,Südstadt,3814444993
14,MedPrevio,Am Strande 3,18055,Stadtmitte,3811288900
15,Pause Andrea Physiotherapiepraxis,Warnowallee 31,18107,Lütten Klein,381725110
16,Sörgel Steffen,Joliot‑Curie‑Allee 49,18147,Toitenwinkel,3816865040
17,Doremans Monika Physiotherapie,Am Vögenteich 14,18057,Kröpeliner Tor‑Vorstadt,3813777900
18,Doremans Monika Physiotherapie,Am Vögenteich 14,18057,Kröpeliner Tor‑Vorstadt,3813777901
19,Friemel B. Physiotherapie,Doberaner Str. 43B,18057,Kröpeliner Tor‑Vorstadt,
20,Physiotherapie Vital Speicher Katja Oestreich,Grubenstr. 32,18055,Stadtmitte,3814583646
21,Jürß Katherina Physiotherapie,Danziger Str. 41,18107,Lütten Klein,38177889760
22,Pietralczyk Regina Physiotherapie,Neubrandenburger Str. 11,18055,Brinckmansdorf,3816661250
23,Stoll Sven Physiotherapie,Trotzenburger Weg 15,18057,Gartenstadt/Stadtweide,3812008263
24,Tübbecke Carola Physiotherapie,Ulmenstr. 21A,18057,Kröpeliner Tor‑Vorstadt,3812005311
25,Physiotherapie Reiser u. Behrens,Kolumbusring 61,18106,Schmarl,3811211720
26,Physiotherapeutische Praxis Rose,Albert‑Schweitzer‑Str. 23,18147,Toitenwinkel,3813772750
27,Arndt K. Physiotherapie,Güstrower Str. 6A,18109,Lichtenhagen,381710493
28,Arndt K. Physiotherapie,Güstrower Str. 6A,18109,Lichtenhagen,
29,Hieke Gunnar Praxis für Physiotherapie,Ernst‑Thälmann‑Str. 4,18069,Reutershagen,3818002239
30,PTB Physiopraxis,Schiffbauerring 60,18109,Groß Klein,38112173470
31,PTB Physiopraxis,Schiffbauerring 60,18109,Groß Klein,38149739921
32,Physiotherapie Rhea Brüdigam,Warnowallee 5,18107,Lütten Klein,3811282879
33,Duske Sandra,No address found,18055,,
34,Achsnig Marion Physiotherapie,Paulstr. 48,18055,Stadtmitte,3813758125
35,Berthold Physiopraxis,Kopernikusstr. 17A,18057,Hansaviertel,38180879977
36,Bohn Katharina Praxis für Physiotherapie,St.‑Georg‑Str. 86,18055,Stadtmitte,3814443261
37,Erdmann L. Physiotherapie,Patriotischer Weg 101,18057,Kröpeliner Tor‑Vorstadt,381453327
38,Hennig Heidlinde Physiotherapie,Kuphalstr. 77A,18069,Reutershagen,3818002903
39,Klatt Gabriele Physiotherapie,Kuphalstr. 61,18069,Reutershagen,3818001466
40,Physio- & Hydrotherapie Evelyn Ruß-Deuschle,Johann‑Sebastian‑Bach‑Str. 1,18119,,
41,Physiometik-Physiotherapie und Kosmetik,Altbettelmönchstr. 2,18055,Stadtmitte,38145838899
42,PhysioPlus Martin Berthold,Kopernikusstr. 17,18057,Hansaviertel,38166099966
43,Physiotherapie Elke Wegener,August‑Bebel‑Str. 89,18055,Stadtmitte,3814923987
44,Physiotherapie Inh. Doreen Bastian,Am Strande 3A,18055,Stadtmitte,38131100
45,Therapiewelten Fromm Inh. Andrea Fromm Physiotherapie,Am Stolteraer Ring 2,18119,Diedrichshagen,3814405200
46,Therapiewelten Fromm Inh. Andrea Fromm Physiotherapie,Am Stolteraer Ring 2,18119,Diedrichshagen,
47,Therapiewelten Fromm Inh. Andrea Fromm Physiotherapie,Am Stolteraer Ring 2,18119,Diedrichshagen,3814405202
48,"vital & physio GmbH Portwich, Rene & Kristina",Kirchenplatz 2,18119,Seebad Warnemünde,
49,Neumann Andre Physiotherapie,Parkstr. 2,18119,Seebad Warnemünde,3815190256